"States","Yr","Quater","Type","District","total_insurance_count","total_insurance_amount","total_transaction_count","total_transaction_amount","total_registered_users","total_app_opens"
"west-bengal","2021","1",NULL,"bankura district",NULL,NULL,"2760457","4094039523.9611278","604485","9129830"
"west-bengal","2021","1",NULL,"alipurduar district",NULL,NULL,"822327","1958197907.4983711","167837","3103865"
"uttar-pradesh","2021","4",NULL,"varanasi district",NULL,NULL,"11458477","22020915567.44571","1325315","32947562"
"uttar-pradesh","2021","4",NULL,"unnao district",NULL,NULL,"1981561","4233983853.8290195","316042","8231448"
"uttar-pradesh","2021","4",NULL,"sultanpur district",NULL,NULL,"2492622","5421042080.0420265","323438","10055921"
"uttar-pradesh","2021","4",NULL,"sonbhadra district",NULL,NULL,"3061254","6361732322.361273","292843","11574122"
"uttar-pradesh","2021","4",NULL,"sitapur district",NULL,NULL,"1876779","4010789883.0243816","428710","8366576"
"uttar-pradesh","2021","4",NULL,"siddharthnagar district",NULL,NULL,"2497885","6845435151.145912","268126","11309904"
"uttar-pradesh","2021","4",NULL,"shravasti district",NULL,NULL,"395856","1033220696.7718502","63555","1885163"
"uttar-pradesh","2021","4",NULL,"shamli district",NULL,NULL,"1845084","4081648961.836449","203726","7458420"
"uttar-pradesh","2021","4",NULL,"shahjahanpur district",NULL,NULL,"1892839","4265217406.0511923","336128","8051413"
"uttar-pradesh","2021","4",NULL,"sant kabeer nagar district",NULL,NULL,"1634173","4460054199.734021","206542","7429877"
"uttar-pradesh","2021","4",NULL,"sambhal district",NULL,NULL,"1665452","4439827282.306233","219722","7592584"
"uttar-pradesh","2021","4",NULL,"saharanpur district",NULL,NULL,"7697919","14666207704.973816","625876","24467930"
"uttar-pradesh","2021","4",NULL,"rampur district",NULL,NULL,"2074148","5087106404.625124","264569","9524556"
"uttar-pradesh","2021","4",NULL,"rae bareli district",NULL,NULL,"2087230","4494202664.729757","282965","8007627"
"uttar-pradesh","2021","4",NULL,"prayagraj district",NULL,NULL,"14418013","25298767096.605217","1414447","41302994"
"uttar-pradesh","2021","4",NULL,"pratapgarh district",NULL,NULL,"3109613","7064867179.599064","397596","12726654"
